1,We have no doubt of his ability.,Chúng tôi không nghiên ng? kh? n?ng c?a anh ?y.,,"{no:1,english:_We have no doubt of his ability._,vietnamese:_Chúng tôi không nghiên ng? kh? n?ng c?a anh ?y._,pronoun:__},"
2,He has the ability to do the job.,Anh ?y có kh? n?ng ?? làm ?i?u ?ó.,,"{no:2,english:_He has the ability to do the job._,vietnamese:_Anh ?y có kh? n?ng ?? làm ?i?u ?ó._,pronoun:__},"
3,This job is beyond my ability.,?i?u ?ó v??t quá kh? n?ng c?a tôi.,,"{no:3,english:_This job is beyond my ability._,vietnamese:_?i?u ?ó v??t quá kh? n?ng c?a tôi._,pronoun:__},"
4,She lacks the ability.,Cô ?y thi?u kh? n?ng(n?ng l?c).,,"{no:4,english:_She lacks the ability._,vietnamese:_Cô ?y thi?u kh? n?ng(n?ng l?c)._,pronoun:__},"
5,Do it to the best of your ability.,Hãy làm ?i?u ?ó h?t kh? n?ng c?a b?n.,,"{no:5,english:_Do it to the best of your ability._,vietnamese:_Hãy làm ?i?u ?ó h?t kh? n?ng c?a b?n._,pronoun:__},"
6,Are you about done?,B?n s?p xong ch?a?,,"{no:6,english:_Are you about done?_,vietnamese:_B?n s?p xong ch?a?_,pronoun:__},"
7,It's about time.,S?p ??n gi? r?i.,,"{no:7,english:_It's about time._,vietnamese:_S?p ??n gi? r?i._,pronoun:__},"
8,I'm about to go.,Tôi s?p ?i r?i.,,"{no:8,english:_I'm about to go._,vietnamese:_Tôi s?p ?i r?i._,pronoun:__},"
9,I'm not sure about that.,Tôi không ch?c l?m v? ?i?u ?ó.,,"{no:9,english:_I'm not sure about that._,vietnamese:_Tôi không ch?c l?m v? ?i?u ?ó._,pronoun:__},"
10,What is it about?,Nó là v? gì v?y?,,"{no:10,english:_What is it about?_,vietnamese:_Nó là v? gì v?y?_,pronoun:__},"
11,How about tomorrow?,Ngày mai thì sao?,,"{no:11,english:_How about tomorrow?_,vietnamese:_Ngày mai thì sao?_,pronoun:__},"
12,Think about it.,Hãy ngh? v? ?i?u ?ó.,,"{no:12,english:_Think about it._,vietnamese:_Hãy ngh? v? ?i?u ?ó._,pronoun:__},"
13,Forget about it.,"Thôi quên ?i, thôi b? ?i.",,"{no:13,english:_Forget about it._,vietnamese:_Thôi quên ?i, thôi b? ?i._,pronoun:__},"
14,I'm able to swim.,tôi có th? b?i.,,"{no:14,english:_I'm able to swim._,vietnamese:_tôi có th? b?i._,pronoun:__},"
15,He isn't able to read.,Anh ?y không th? ??c ???c.,,"{no:15,english:_He isn't able to read._,vietnamese:_Anh ?y không th? ??c ???c._,pronoun:__},"
16,Is the baby able to walk.,Em bé bi?t ?i ch?a?,,"{no:16,english:_Is the baby able to walk._,vietnamese:_Em bé bi?t ?i ch?a?_,pronoun:__},"
17,I won't be able to attend your wedding.,Tôi không th? ?i d? ?ám c??i c?a b?n ???c.,,"{no:17,english:_I won't be able to attend your wedding._,vietnamese:_Tôi không th? ?i d? ?ám c??i c?a b?n ???c._,pronoun:__},"
18,She's head and shoulders above the others.,Cô ?y h?n h?n nh?ng ng??i khác.,,"{no:18,english:_She's head and shoulders above the others._,vietnamese:_Cô ?y h?n h?n nh?ng ng??i khác._,pronoun:__},"
19,A rock fell from above.,M?t hòn ?ã r?i t? trên cao xu?ng.,,"{no:19,english:_A rock fell from above._,vietnamese:_M?t hòn ?ã r?i t? trên cao xu?ng._,pronoun:__},"
20,"above all, I'd like to thank my family.","Trên h?t, tôi mu?n nói l?i c?m ?n gia ?ình.",,"{no:20,english:_above all, I'd like to thank my family._,vietnamese:_Trên h?t, tôi mu?n nói l?i c?m ?n gia ?ình._,pronoun:__},"
21,,S?c kh?e ??t trên ti?n b?c.,,"{no:21,english:__,vietnamese:_S?c kh?e ??t trên ti?n b?c._,pronoun:__},"
22,,Ký tên bên trên dòng này.,,"{no:22,english:__,vietnamese:_Ký tên bên trên dòng này._,pronoun:__},"
,,,,"{no:,english:__,vietnamese:__,pronoun:__},"
,,,,"{no:,english:__,vietnamese:__,pronoun:__},"
