TOIECALUNIT01,Toiec A Listening Unit 1,
pick up flowers;hái hoa;undefined
potted plant;cây trồng trong chậu;undefined
monitor;màn hình;undefined
stroll;đi dạo;undefined
board;lên tàu, lên máy bay;undefined
Looking at the screen;nhìn vào màn hình;undefined
Watching a street performance;xem 1 màn biểu diễn trên phố;undefined
Checking the hood;kiểm tra nắp xe;undefined
Reading a magazine;đọc tạp chí;undefined
Inspecting a machine;kiểm tra máy;undefined
slacks;quần dài;undefined
pant suit;âu phục (nữ);undefined
athlete;vận động viên;undefined
work out;tập thể dục;undefined
proposal;đề xuất;undefined
gaze;nhìn chằm chằm;v
stare;nhìn chằm chằm;v
reflection;sự phản chiếu;n
lean;nghiêng, dựa, ỷ vào;v
headset;tai nghe;n
tear down;phá hủy;n
assemble;thu thập, tụ tập, lắp ráp;v
adjacent;gần kề, sát ngay;adj
applaud;vỗ tay tán thưởng;v
shield;che chắn;v
pier;cầu tàu, bến tàu;n
occupy;giữ, chiếm lĩnh, chiếm giữ;v
toss;quăng, tung, ném;v
scatter;rải rác, phân tán;v
deserted;hoang vắng, không người ở;adj
gesture;điệu bộ, cử chỉ;n
crew;đội, nhóm;n
crane;cần cẩu;n
monitor;theo dõi, giám sát (= keep track of);v
