TOIECARUNIT05,Toiec A Reading Unit 5
ingest;nuốt vào, ăn vào;v
alteration;sự thay đổi;N
appropriate;thích hợp;adj
miss;bỏ qua, bỏ lỡ;v
potential;tiềm năng;adj
curious;tò mò, hiếu kỳ;adj
matter;vấn đề, đề tài, nội dung;N
format;định dạng;v
deluxe;sang trọng, xa xỉ;adj
premiere;buổi công chiếu;adj
draft;bản nháp;N
workshop;hội thảo;N
grant;trợ cấp, ban cho;v
moderate;vừa phải, có mức độ;adj
willingness;sự bằng lòng, sự vui lòng;N
free of charge;Miễn phí, không tính tiền;undefined
entitle;cho quyền, cho làm gì;v
resign;từ chức;v
guidance;sự hướng dẫn;N
obtain;đạt được;v
cutback;sự giảm xuống, sự cắt giảm;N
insurance coverage;gói bảo hiểm;undefined
recreational;giải trí;adj
state-of-the-art;hiện đại nhất;undefined
prominent;nổi bật, đáng chú ý;adj
vital;quan trọng;adj
campaign;chiến dịch;N
smooth;trôi chảy, mượt mà;adj
glitch;Sự cố kỹ thuật nhỏ;N
accommodation;chỗ ở;undefined
inconvenience;sự bất tiện, sự phiền phức;N
invoice;hóa đơn;N
get in touch;liên lạc, liên hệ;undefined
lively;sinh động, sống động;adj
manage to;xoay xở làm gì đó;undefined
tend to;có xu hướng, định làm gì đó;undefined
fail to;thất bại trong việc gì;undefined
aim to;nhằm mục đích để;undefined
offer to;đề nghị làm gì;undefined
refuse to;từ chối làm gì;undefined
allow sb to V;cho phép ai làm gì;undefined
encourage sb to V;khuyến khích ai làm gì;undefined
remind sb to V;nhắc nhở ai làm gì;undefined
ask sb to V;yêu cầu ai làm gì;undefined
with regard to = about;về;undefined
intranet;mạng nội bộ;undefined
steadily;đều đặn;undefined
aggressive;hung hăng;undefined
delegate;người đại diện / giao phó, uỷ quyền;undefined
attire;trang phục;undefined
be about to V;chuẩn bị xảy ra;undefined
be willing to V;sẵn lòng làm gì;undefined
be reluctant to V;miễn cưỡng làm gì;undefined
be supposed to;được cho là, đáng lẽ ra phải làm gì;undefined
be likely to V;có khả năng;undefined
be eligible to V;có đủ năng lực, phẩm chất để làm gì;undefined
no doubt;chắc chắn;undefined
income;thu nhập;undefined
attempt to V = effort to V;nỗ lực làm gì;undefined
chance to V;cơ hội để làm gì;undefined
ability to V;có khả năng làm gì;undefined
lay off = fire;sa thải;undefined
conduct a survey;thực hiện cuộc khảo sát;undefined
comprehensive;toàn diện;undefined
meet the deadline;nộp đúng hạn;undefined
entrance;lối vào;undefined
accommodate;chứa, đáp ứng;undefined
day off;ngày nghỉ;undefined
finalize;chốt, hoàn thành;undefined
expedite;thúc đẩy cái gì đó xảy ra sớm hơn;undefined
resentment;sự phẫn uất, sự oán giận;undefined
initiative;sáng kiến;undefined
determine;xác định;undefined
