TOIECALUNIT0910,Toiec A Listening Unit 9-10
within walking distance;trong khoảng cách gần có thể đi bộ được;undefined
turn on;bật;undefined
economy class;hạng phổ thông;undefined
business class;hạng thương gia;undefined
make a reservation;đặt chỗ trước;undefined
itinerary;lịch trình;undefined
travel expenses;chi phí đi lại;undefined
accommodation;chỗ ở;undefined
round trip ticket;vé khứ hồi;undefined
one way ticket;vé một chiều;undefined
reimburse;hoàn tiền, hoàn trả;undefined
awful;tồi tệ, kinh khủng;undefined
tiring;mệt mỏi;undefined
subway station;ga tàu điện ngầm;undefined
slip my mind;quên;undefined
night shift;ca đêm;undefined
absent;vắng mặt;undefined
strike;cuộc đình công;undefined
payroll;bảng lương;undefined
shut down;tắt, ngừng hoạt động;undefined
investor;nhà đầu tư;undefined
banker;nhân viên ngân hàng;undefined
executive officer;cán bộ điều hành;undefined
shareholder;cổ đông;undefined
analyze;phân tích;undefined
leave;nghỉ phép;undefined
stock;cổ phiếu;undefined
voucher;phiếu giảm giá;undefined
