TOIECARUNIT08,Toiec A Reading Unit 8
reluctant;miễn cưỡng,bất đắc dĩ;adj
content;nội dung, sự hài lòng;n
loose; lỏng, không chặt;adj
unplug;Rút ổ điện;undefined
cabinet;tủ có nhiều ngăn đựng đồ;n
suspend;đình chỉ, hoãn, tạm dừng, treo lên;v
association;tổ chức, hiệp hội;n
assign;phân công, bổ nhiệm, chuyển nhượng;v
designation;sự chỉ định, sự bổ nhiệm;n
overreaching;phản ứng thái quá;undefined
gracious;tử tế, hào hiệp;undefined
benevolent;nhân từ, rộng lượng;undefined
harsh;thô, xù xì, khắc nghiệt;adj
tone;tiếng, giọng;n
certify;chứng nhận, nhận thực, chứng thực; cấp giấy chứng nhận;v
consulting;tư vấn;undefined
lackluster;lờ đờ, mờ nhạt;undefined
contrast;sự tương phản; làm trái ngược;n-v
headquarters;trụ sở chính;undefined
press conference;họp báo;undefined
propose;đề xuất, đề nghị;v
restructure;tái cấu trúc;v
venture;sự án kinh doanh, công việc kinh doanh;n
efficiency;sự hiệu quả;n
shareholder;.cổ đông;n
output;sự sản xuất; sản phẩm, sản lượng;n
edition;phiên bản;n
entirely;toàn vẹn, trọn vẹn, toàn bộ;adv 
out of print;không được xuất bản/in nữa;undefined
undergo;trải qua;v
appliance;thiết bị, dụng cụ gia dụng;n
rectify;sửa lại cho đúng;v
incur;phát sinh, xảy ra;b
acknowledge;công nhận, thừa nhận;v
gracious;hoà nhã, lịch thiệp;adj
benevolent;nhân từ, rộng lượng;adj
harsh;khắc nghiệt;adj
definite;xác định, rõ ràng;adj
Challenging task;nhiệm vụ khó khăn;undefined
Rewarding job;công việc đáng làm;undefined
Demanding customer;khách hàng khó tính;undefined
Outstanding debts;nợ quá hạn;undefined
Leading company;công ty hàng đầu;undefined
Existing employees;nhân viên cũ;undefined
Remaining seats;ghế còn trống;undefined
Rising / growing/ increasing needs;nhu cầu gia tăng;undefined
Detailed plan;kế hoạch chi tiết;undefined
Limited time;giới hạn thời gian;undefined
Reserved seats;chỗ ngồi đã được đặt trước;undefined
Revised report;báo cáo đã được xem qua;undefined
Experienced employee;nhân viên có kinh nghiệm;undefined
Finished product;thành phẩm;undefined
Customized item;sản phẩm được đặt riêng theo yêu cầu của khách hàng;undefined
Expected results;kết quả đã được dự báo;undefined
bank loan;khoản vay ngân hàng;undefined
pay raise;sự tăng lương;undefined
flexible;linh hoạt;undefined
situate;đặt ở vị trí;undefined
be concerned about;lo lắng về;undefined
utility fee;phí điện nước điện thoại;undefined
distinguished;nổi bật, xuất chúng;undefined
demanding;đòi hỏi cao;undefined
