TOIECARUNIT02,Toiec A Reading Unit 2
require;yêu cầu;v
private;riêng tư;adj
frequently;thường xuyên;adv
pregnant;mang bầu;adj
sedentary;ít vận động;adj
surpass;vượt qua;v
announce;thông báo;v
campaign;chiến dịch;N
regulation;quy định;N
govern;quản lý;V
provision;điều khoản;N
safeguard;bảo vệ;v
welfare;phúc lợi;N
contain /kənˈteɪn/;chứa đựng;v
evaluation /ɪˌvæl.juˈeɪ.ʃən/;sự đánh giá;N
water /ˈwɑː.t̬ɚ/;tưới cây;v
supervisor /ˈsuː.pɚ.vaɪ.zɚ/;giám sát viên;N
generate /ˈdʒen.ə.reɪt/;tạo ra;v
revenue;doanh thu;N
concur;đồng tình;v
applicant;ứng viên;N
eliminate;loại bỏ;v
extend;kéo dài, mở rộng;v
facilitate;tạo điều kiện;v
pertinent;thích đáng;adj
relevant;liên quan, thích hợp;adj
consultant;cố vấn;N
priority;sự ưu tiên;N
inform;thông báo;v
assistant;phụ tá, trợ giúp;v
designate;chỉ định;v
negotiate;thương thuyết, đàm phán;v
release;phát hành;v
register;đăng ký, ghi tên;v
motivation;động lực;N
impact;ảnh hưởng;N
stabilize;ổn định;v
seminar;hội thảo;N
undergo;trải qua;v
annual;thường niên, hàng năm;adj
outstanding account;tài khoàn chưa thanh toán;undefined
directly;một cách trực tiếp;adv
take place;diễn ra;undefined
conference;hội nghị;undefined
state-of-the-art;hiện đại nhất;undefined
promising;đầy hứa hẹn;undefined
transfer;chuyển công tác;undefined
experienced;có kinh nghiệm;undefined
coordinator;điều phối viên;undefined
instructor;người hướng dẫn;undefined
critic;nhà phê bình;undefined
publish;xuất bản;undefined
a variety of;có nhiều, đa dạng;undefined
city council;hội đồng thành phố;undefined
funding;quỹ;undefined
recruit;tuyển dụng;undefined
inquire;hỏi;undefined
candidate;ứng viên;undefined
possess;sở hữu;undefined
job description;bản mô tả công việc;undefined
minimum;tối thiểu;undefined
license;giấy phép;undefined
prefer;thích hơn;undefined
semester;học kỳ;undefined
