TOIECARUNIT01,Toiec A Reading Unit 1
ventilation;sự thông gió, thông hơi / hệ thống thông gió, thông hơi;N
obstruction;sự cản trở, sự che chắn;N
recover;hồi phục;v
currently /ˈkʌr.ənt.li/;hiện tại;undefined
precisely;chính xác, hoàn toàn đúng;adv
thoroughly;kỹ lưỡng, thấu đáo, triệt để;adv
collaboratively;hợp tác cùng nhau;adv
transfer;di chuyển, chuyển;v
ensure;đảm bảo;v
recall;triệu hồi, thu hồi;v
remind;nhắc nhở;v
identify;nhận dạng, xác nhận;v
present;thuyết trình / trình ra, đưa ra;v
attend;tham dự, tham gia;v
enclose;đính kèm;V
acquire;có được, thu được;v
expire;hết hạn;undefined
active;năng động, tích cực;undefined
appreciate;đánh giá cao;undefined
implement;thi hành;undefined
patience;sự kiên nhẫn;undefined
effort;nỗ lực;undefined
expiration date;ngày hết hạn;undefined
catchy;dễ nhớ, bắt tai;undefined
helmet;mũ bảo hiểm;undefined
issue;vấn đề;undefined
offer;đưa ra, đề nghị;undefined
appoint;chỉ định, bổ nhiệm;undefined
sample;mẫu;undefined
opportunity;cơ hội;undefined
install;cài đặt, lắp đặt;undefined
surround;bao quanh;undefined
attract;thu hút;undefined
lay off;sa thải;undefined
conduct a survey;thực hiện cuộc khảo sát;undefined
enable;cho phép;undefined
finalize;hoàn tất, hoàn thiện;undefined
envelope;phong bì;undefined
contribute;đóng góp;undefined
