TOIECARUNIT11,Toiec A Reading Unit 11
judge,Đánh giá
potential,tiềm năng
create,tạo ra
representative,người đại diện
go bankrupt,phá sản
landlord,chủ nhà
supervise,giám sát
experience,trải qua / trải nghiệm
discount,giảm giá
on time,đúng giờ
warranty,bảo hành
trend,xu hướng
superior,cấp trên
accordingly,do đó, vì vậy
work ethic,đạo đức nghề nghiệp
trade show,hội chợ triển lãm thương mại
craft,nghề thủ công
demonstrate,chứng minh, giải thích
pretigious,có uy tín
expert,chuyên gia
drawback,mặt hạn chế
organic,hữu cơ
competency,năng lực, khả năng
