TOIECALUNIT02,Toiec A Listening Unit 2
in charge of;chịu trách nhiệm về;undefined
plenty of;có nhiều;undefined
ceremony;nghi lễ, buổi lễ;undefined
briefcase;cặp tài liệu;undefined
downtown;trung tâm thành phố;undefined
tight;chật, eo hẹp;undefined
profession;nghề nghiệp;undefined
get back to;gọi lại;undefined
reschedule;đặt lại lịch;undefined
reserve seats;đặt trước chỗ;undefined
make an appointment;thu xếp một cuộc hẹn;undefined
confirm a reservation;xác nhận việc đặt chỗ trước;undefined
book a hotel room;đặt phòng khách sạn;undefined
deliver a product;vận chuyển;undefined
reputation;danh tiếng;undefined
tow;kéo đi;undefined
automobile;xe ô tô;undefined
manufacture;sản xuất;undefined
stay on the line;giữ máy;undefined
emergency;khẩn cấp;undefined
extension;số máy nhánh;undefined
leave a message;để lại lời nhắn;undefined
press;ấn;undefined
operator;người trực tổng đài;undefined
journalist;nhà báo;undefined
resign;từ chức;undefined
dig;đào bới, xới;v
injection;sự tiêm, thuốc tiêm;n
bundle;bó, gói, bọc;n
trim;cắt tỉa, sự cắt tỉa;v,n
depart;rời khỏi, khởi hành/ sao lãng, đi lệch;v
patio;hiên, sân trong;n
scrub;n. bụi, rậm; v. lau chùi, kỳ cọ;n
porch;hành lang, hè trước nhà;n
fence;hàng rào;n
refreshment;thức ăn uống nhẹ, quà bánh;n
binder;sổ tay bìa cứng;n
rack;giá đỡ, giá để đồ;n
balcony;ban công;n
patron;khách hàng quen, khách hàng thường xuyên;n
steer;lái (tàu, ô tô..);v
hut;túp lều;n
hose;ống, vòi nước;n
lounger;người lang thang;n
harbor;bến cảng;n
paddle;mái chèo, chèo;n
crouch;ngồi co lại, thu mình;v
freight;hàng hóa được vận chuyển;n
