TOIECARUNIT10,Toiec A Reading Unit 10
primary;chính, chủ yếu, ưu tiên;adj
devote;hiến dâng, dành hết cho;v
nominee;ứng cử viên;n
recipient;người nhận;n
chinaware;đồ sứ;n
diploma;Văn bằng, bằng cấp;n
debate;cuộc tranh luận, tranh luận;v
portable;xách tay;adj
entrance;lối vào;n
refreshment;đồ ăn nhẹ;n
accordance;sự phù hợp;n
disorganized;thiếu tổ chức;n
scrape;cạo, cọ;v
disruption;sự gián đoạn;n
decade;thập kỷ;n
aircraft;máy bay, khí cầu;n
inflatable;có thể bơm phồng;n
coordinate;điều phối;undefined
distribute;phân phối;undefined
inappropriate;không phù hợp;undefined
get a refund;hoàn tiền;undefined
raise awareness;nâng cao nhận thức;undefined
convention center;trung tâm hội nghị;undefined
announcement;thông báo;undefined
banquet;bữa tiệc lớn;undefined
shortage;sự thiếu hụt;undefined
manufacturer;nhà sản xuất;undefined
in line;xếp hàng;undefined
paid vacation;đi nghỉ có lương;undefined
autograph;chữ ký;undefined
within walking distance;ở khoảng cách có thể đi bộ đến;undefined
target audience;đối tượng khán giả;undefined
primarily;trước hết, đầu tiên;undefined
amateur;người nghiệp dư;undefined
judge;Đánh giá;undefined
potential;tiềm năng;undefined
create;tạo ra;undefined
representative;người đại diện;undefined
go bankrupt;phá sản;undefined
landlord;chủ nhà;undefined
supervise;giám sát;undefined
experience;trải qua / trải nghiệm;undefined
discount;giảm giá;undefined
on time;đúng giờ;undefined
warranty;bảo hành;undefined
trend;xu hướng;undefined
superior;cấp trên;undefined
accordingly;do đó, vì vậy;undefined
work ethic;đạo đức nghề nghiệp;undefined
trade show;hội chợ triển lãm thương mại;undefined
craft;nghề thủ công;undefined
demonstrate;chứng minh, giải thích;undefined
pretigious;có uy tín;undefined
expert;chuyên gia;undefined
drawback;mặt hạn chế;undefined
organic;hữu cơ;undefined
competency;năng lực, khả năng;undefined
