TOIECALUNIT08,Toiec A Listening Unit 8
yes = sure = definitely = absolutely = certainly;có, chắc chắn rồi;undefined
no = not at all = not this time = definitely not = certainly not = absolutely not;không đâu;undefined
aisle;Lối đi giữa các dãy ghế;undefined
vegeterian;ăn chay;undefined
in charge of = responsible for;chịu trách nhiệm;undefined
laboratory;phòng thí nghiệm;undefined
vending machine;máy bán hàng tự động;undefined
spacious;rộng rãi;undefined
flier/flyer;tờ rơi quảng cáo;undefined
look forward to Ving;mong đợi , mong chờ;undefined
take care of;quan tâm, chăm sóc;undefined
stay tuned;đừng chuyển kênh;undefined
commercial break;thời gian quảng cáo;undefined
temperature;nhiệt độ;undefined
slippery;trơn trượt;undefined
heat wave;đợt nóng;undefined
road construction;xây dựng đường;undefined
heavy traffic;giao thông đông đúc;undefined
detour;đường vòng;undefined
commuter;người đi vé tháng;undefined
educational;có tính giáo dục;undefined
handout;tài liệu phát tay;undefined
inspector;thanh tra;undefined
reschedule;đặt lại lịch;undefined
crowded;đông đúc;undefined
terrific;tuyệt vời;undefined
rent;tiền thuê nhà;undefined
reasonable;hợp lý, phải chăng;undefined
on a diet;ăn kiêng;undefined
downtown area;khu vực trung tâm;undefined
correspondent;phóng viên;undefined
ham;thịt giăm bông;undefined
urgent;gấp, khẩn cấp;adj
employment agency;Công ty môi giới việc làm;adj
orientation;sự định hướng;adj
blueprint;bản kế hoạch chi tiết;n
prototype;nguyên mẫu, vật mẫu đầu tiên;n
release;phát hành, cấp phép;v
patio;Hiên;v
fire drill;diễn tập cứu hỏa;v
avenue;đại lộ;v
